symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2026-08-07T04:00:00+00:00,720.215,723.63,716.62,722.89,562837,8702,721.440798
QQQ,2026-08-10T04:00:00+00:00,722.58,724.56,720.33,720.805,560500,7881,721.729545
QQQ,2026-08-11T04:00:00+00:00,723.01,723.05,715.84,718.3,472673,7666,718.939058
QQQ,2026-08-12T04:00:00+00:00,726.99,727.165,722.95,723.61,352320,5636,724.361831
QQQ,2026-08-13T04:00:00+00:00,724.98,733.94,724.065,732.11,604846,9803,731.711855
QQQ,2026-08-14T04:00:00+00:00,733.17,734.39,728.34,731.045,486920,8182,730.329602
QQQ,2026-08-17T04:00:00+00:00,732.95,734.56,729.27,729.945,526803,8037,731.583338
QQQ,2026-08-18T04:00:00+00:00,720.31,722.12,715.97,717.76,933462,12464,718.221743
QQQ,2026-08-19T04:00:00+00:00,720.41,721.39,712.665,716.03,508097,8181,716.673093
QQQ,2026-08-20T04:00:00+00:00,712.225,714.84,708.58,710.93,496119,7984,711.455373
QQQ,2026-08-21T04:00:00+00:00,715.265,715.65,709.29,713.41,526390,7049,713.059478
QQQ,2026-08-24T04:00:00+00:00,709.625,709.65,702.83,706.38,553614,8394,706.932044
QQQ,2026-08-25T04:00:00+00:00,711.11,713.93,707.5,710.66,433063,5511,710.328833
