symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-06-01T04:00:00+00:00,755.56,760.26,754.74,758.44,1446621,24204,757.541871
SPY,2026-06-02T04:00:00+00:00,757.21,760.4,756.75,759.47,1164371,20441,758.987478
SPY,2026-06-03T04:00:00+00:00,758.2,758.79,753.59,754.18,1906675,29308,755.410855
SPY,2026-06-04T04:00:00+00:00,752.06,758.3,751.47,756.97,1546700,26881,756.057324
SPY,2026-06-05T04:00:00+00:00,752.29,752.8,735.59,737.45,2829329,46592,743.138073
SPY,2026-06-08T04:00:00+00:00,743.35,745.32,738.2,739.235,1709067,29762,741.673381
SPY,2026-06-09T04:00:00+00:00,743.41,746.89,722.605,737.07,3427455,47979,733.965451
SPY,2026-06-10T04:00:00+00:00,733.36,738.38,725.37,725.58,2288273,35624,730.735464
SPY,2026-06-11T04:00:00+00:00,728.8,740,724.46,737.67,3118813,51948,732.745128
SPY,2026-06-12T04:00:00+00:00,740.74,744.41,735.03,741.67,2238880,34844,740.574543
SPY,2026-06-15T04:00:00+00:00,751.8,756.68,751.78,754.75,1938716,32856,754.473961
SPY,2026-06-16T04:00:00+00:00,754.55,755.44,749.89,750.58,1800287,26988,752.097488
SPY,2026-06-17T04:00:00+00:00,751.27,752.13,739.26,741.02,2559843,40342,745.689631
SPY,2026-06-18T04:00:00+00:00,747.765,748.18,743.88,746.75,1493489,27650,746.575702
SPY,2026-06-22T04:00:00+00:00,747.65,750.14,743.13,744.27,1673730,26663,745.080264
SPY,2026-06-23T04:00:00+00:00,733.735,739.6,732.3,733.62,1905566,30750,735.56944
SPY,2026-06-24T04:00:00+00:00,734.7,739.93,730.86,733.32,1421736,23722,734.122191
SPY,2026-06-25T04:00:00+00:00,738.9,739.31,729.63,733.33,1997200,34141,733.606281
SPY,2026-06-26T04:00:00+00:00,728.875,736.5,716.58,729.35,2065474,30769,732.80282
SPY,2026-06-29T04:00:00+00:00,736.61,741.54,732.12,740.86,1615239,26481,738.907788
SPY,2026-06-30T04:00:00+00:00,741.3,748.01,740.9,746.65,1509022,24028,745.43146
SPY,2026-07-01T04:00:00+00:00,744.965,749.41,742.385,745.665,1546434,23372,746.557347
SPY,2026-07-02T04:00:00+00:00,747.415,751.23,740.04,744.86,1955793,28892,744.800091
SPY,2026-07-06T04:00:00+00:00,748.22,752.4,747.455,751.27,1521390,23016,750.654665
SPY,2026-07-07T04:00:00+00:00,750.21,750.935,745.27,747.77,1436097,25223,747.606356
SPY,2026-07-08T04:00:00+00:00,743.135,746.14,739.55,745.28,1223246,21967,743.61594
SPY,2026-07-09T04:00:00+00:00,747.29,751.97,745.6,751.55,1464597,21703,750.047598
SPY,2026-07-10T04:00:00+00:00,752.1,755.42,748.14,754.94,1273329,19393,753.674501
SPY,2026-07-13T04:00:00+00:00,752.62,753.91,748.06,749.13,1512093,21929,750.557362
SPY,2026-07-14T04:00:00+00:00,750.93,753.31,748.71,751.94,1105761,16630,751.576937
SPY,2026-07-15T04:00:00+00:00,754.225,755.54,750.25,754.77,1446040,23863,753.482332
SPY,2026-07-16T04:00:00+00:00,752.8,754.55,747.88,750.87,1656558,22212,751.112107
SPY,2026-07-17T04:00:00+00:00,742.17,747.25,740.8,743.28,2010179,26655,744.421418
SPY,2026-07-20T04:00:00+00:00,747.04,748.69,741.56,742.15,1510294,19982,744.289804
SPY,2026-07-21T04:00:00+00:00,746.31,749.03,744.25,748.155,1219047,18616,747.532316
SPY,2026-07-22T04:00:00+00:00,747.05,750.015,746.425,747.49,1223790,17021,748.330809
SPY,2026-07-23T04:00:00+00:00,739.29,742.515,735.25,738.06,1715927,24698,738.211535
SPY,2026-07-24T04:00:00+00:00,738.505,743.71,737.3,738.9,1530227,21068,739.508814
SPY,2026-07-27T04:00:00+00:00,744.9,745.52,735.88,738.85,1413913,22695,739.0947
