underlying,underlying_quote_timestamp,underlying_bid,underlying_ask,feed,symbol,option_quote_timestamp,bid,ask,bid_size,ask_size,implied_volatility,delta,gamma,theta,vega
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00765000,2026-08-28T19:48:02.836425+00:00,7.07,7.38,60,117,0.1071,0.6609,0.0321,-0.3482,0.3899
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00766000,2026-08-28T19:48:01.547130+00:00,6.35,6.55,83,56,0.1037,0.6319,0.0341,-0.3452,0.4015
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00767000,2026-08-28T19:48:00.922493+00:00,5.81,5.91,66,77,0.1042,0.5968,0.0349,-0.3519,0.4123
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00768000,2026-08-28T19:48:04.057332+00:00,5.14,5.22,21,160,0.1016,0.5629,0.0364,-0.3472,0.4196
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00769000,2026-08-28T19:48:04.033291+00:00,4.67,4.70,94,200,0.1026,0.5260,0.0364,-0.3507,0.4240
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00770000,2026-08-28T19:48:04.057457+00:00,4.10,4.11,100,37,0.1008,0.4893,0.0371,-0.3429,0.4248
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00771000,2026-08-28T19:48:03.977606+00:00,3.50,3.52,202,161,0.0977,0.4506,0.0380,-0.3285,0.4217
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00772000,2026-08-28T19:48:02.935315+00:00,3.08,3.10,36,150,0.0979,0.4132,0.0374,-0.3213,0.4148
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00773000,2026-08-28T19:48:02.980548+00:00,2.61,2.65,120,114,0.0961,0.3741,0.0370,-0.3055,0.4036
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00774000,2026-08-28T19:48:04.033113+00:00,2.23,2.25,130,163,0.0951,0.3363,0.0360,-0.2895,0.3886
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904C00775000,2026-08-28T19:48:03.070818+00:00,1.86,1.87,141,4,0.0934,0.2980,0.0348,-0.2691,0.3692
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00765000,2026-08-28T19:48:04.032856+00:00,2.49,2.50,71,3,0.1046,-0.3357,0.0327,-0.2642,0.3883
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00766000,2026-08-28T19:48:02.934738+00:00,2.85,2.87,164,161,0.1048,-0.3693,0.0338,-0.2723,0.4019
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00767000,2026-08-28T19:48:04.032911+00:00,3.15,3.18,159,120,0.1027,-0.4019,0.0354,-0.2711,0.4120
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00768000,2026-08-28T19:48:03.657301+00:00,3.48,3.54,83,54,0.1008,-0.4366,0.0367,-0.2682,0.4195
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00769000,2026-08-28T19:48:04.032335+00:00,3.88,3.99,150,99,0.1000,-0.4734,0.0374,-0.2660,0.4240
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00770000,2026-08-28T19:48:04.033307+00:00,4.26,4.39,189,102,0.0974,-0.5113,0.0384,-0.2560,0.4247
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00771000,2026-08-28T19:48:02.989720+00:00,4.91,4.94,63,97,0.0990,-0.5487,0.0376,-0.2556,0.4217
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00772000,2026-08-28T19:48:03.028577+00:00,5.29,5.41,62,31,0.0954,-0.5892,0.0383,-0.2366,0.4142
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00773000,2026-08-28T19:48:04.033418+00:00,5.92,6.09,97,52,0.0965,-0.6254,0.0369,-0.2296,0.4037
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00774000,2026-08-28T19:48:01.636113+00:00,6.42,6.54,28,15,0.0920,-0.6691,0.0370,-0.2018,0.3862
SPY,2026-08-28T19:47:36.877102+00:00,769.21,769.23,indicative,SPY260904P00775000,2026-08-28T19:48:00.929308+00:00,7.13,7.40,27,18,0.0945,-0.6998,0.0345,-0.1958,0.3704
